Timestamp,Protocol,Payload Size (bytes),Device Active Time (ms)
70366827154400,MQTT,102,0
70366827492400,MQTT,102,0
70366883767400,MQTT,102,0
70366884094700,MQTT,102,0
70366884513200,MQTT,102,0
70366884765800,MQTT,102,0
70366884914600,MQTT,102,0
70366888617600,MQTT,102,0
70366893402800,MQTT,102,0
70366892966700,MQTT,102,0
70366893664700,MQTT,102,0
70366893564700,MQTT,102,0
70366897992500,MQTT,102,0
70366898549100,MQTT,102,0
70366898804000,MQTT,102,0
70366898993700,MQTT,102,0
70366899201100,MQTT,102,0
70366899365500,MQTT,102,0
70366908553800,MQTT,102,0
70366909343900,MQTT,102,0
70366909603500,MQTT,102,0
70366909752700,MQTT,102,0
70366909867900,MQTT,102,0
70366910080500,MQTT,102,0
70366909973500,MQTT,102,0
70366910195800,MQTT,102,0
70366910296800,MQTT,102,0
70366961716200,MQTT,102,0
70366962217300,MQTT,102,0
70366962553500,MQTT,102,0
70366962407400,MQTT,102,0
70366962686400,MQTT,102,0
70366967080500,MQTT,102,0
70366971700100,MQTT,102,0
70366972156500,MQTT,102,0
70366972616300,MQTT,102,0
70366972357700,MQTT,102,0
70366972825000,MQTT,102,0
70366976411500,MQTT,102,0
70366977102900,MQTT,102,0
70366977341100,MQTT,102,0
70366977458200,MQTT,102,0
70366977727700,MQTT,102,0
70366977576300,MQTT,102,0
70367017897300,MQTT,102,0
70367018480400,MQTT,102,0
70367018726300,MQTT,102,0
70367018853900,MQTT,102,0
70367019029200,MQTT,102,0
70367019429300,MQTT,102,0
70367018636000,MQTT,102,0
70367019583300,MQTT,102,0
70367019198800,MQTT,102,0
70367029203100,MQTT,102,0
70367029862300,MQTT,102,0
70367030186400,MQTT,102,0
70367030941000,MQTT,102,0
70367031223200,MQTT,102,0
70367031432000,MQTT,102,0
70367083876800,MQTT,102,0
70367085339900,MQTT,102,0
70367085132900,MQTT,102,0
70367084537600,MQTT,102,0
70367084879500,MQTT,102,0
70367089136500,MQTT,102,0
70367089400100,MQTT,102,0
70367089513100,MQTT,102,0
70367089769700,MQTT,102,0
70367089642800,MQTT,102,0
70367093233200,MQTT,102,0
70367098677900,MQTT,102,0
70367099012800,MQTT,102,0
70367099626600,MQTT,102,0
70367099399300,MQTT,102,0
70367100292100,MQTT,102,0
70367099781400,MQTT,102,0
70367100701800,MQTT,102,0
70367100973600,MQTT,102,0
70367101175600,MQTT,102,0
70367120394100,MQTT,102,0
70367121108900,MQTT,102,0
70367120679100,MQTT,102,0
70367121326800,MQTT,102,0
70367121462400,MQTT,102,0
70367125550500,MQTT,102,0
70367133627900,MQTT,102,0
70367134492100,MQTT,102,0
70367134710200,MQTT,102,0
70367134208400,MQTT,102,0
70367135603500,MQTT,102,0
70367135318300,MQTT,102,0
70367135797300,MQTT,102,0
70367134926000,MQTT,102,0
70367135914500,MQTT,102,0
70367188905000,MQTT,102,0
70367189414300,MQTT,102,0
70367189658900,MQTT,102,0
70367189823000,MQTT,102,0
70367189931000,MQTT,102,0
70367194302000,MQTT,102,0
70367200160800,MQTT,102,0
70367200917000,MQTT,102,0
70367201270500,MQTT,102,0
70367200470000,MQTT,102,0
70367201531700,MQTT,102,0
70367205600000,MQTT,102,0
70367205940900,MQTT,102,0
70367206437900,MQTT,102,0
70367206167500,MQTT,102,0
70367206536100,MQTT,102,0
70367206318400,MQTT,102,0
70367268390400,MQTT,102,0
70367268766800,MQTT,102,0
70367269020200,MQTT,102,0
70367268894200,MQTT,102,0
70367269180100,MQTT,102,0
70367273868500,MQTT,102,0
70367274219500,MQTT,102,0
70367274350600,MQTT,102,0
70367274476800,MQTT,102,0
70367277375000,MQTT,102,0
70367284692200,MQTT,102,0
70367285340600,MQTT,102,0
70367285849400,MQTT,102,0
70367285632400,MQTT,102,0
70367286528700,MQTT,102,0
70367286305700,MQTT,102,0
70367286635900,MQTT,102,0
70367285957200,MQTT,102,0
70367286753300,MQTT,102,0
70367292874300,MQTT,102,0
70367293318000,MQTT,102,0
70367293745500,MQTT,102,0
70367293904400,MQTT,102,0
70367293633200,MQTT,102,0
70367293512800,MQTT,102,0
70367294145700,MQTT,102,0
70367302020900,MQTT,102,0
70367302280500,MQTT,102,0
70367302720200,MQTT,102,0
70367302953400,MQTT,102,0
70367303063100,MQTT,102,0
70367303202800,MQTT,102,0
70367303338800,MQTT,102,0
70367303499300,MQTT,102,0
70367303663100,MQTT,102,0
70367327752000,MQTT,102,0
70367328612200,MQTT,102,0
70367328313700,MQTT,102,0
70367328780600,MQTT,102,0
70367328948200,MQTT,102,0
70367333049400,MQTT,102,0
